words,links,capital_words,spam_word_count,is_spam
231,4,2,2,0
99,0,0,2,0
99,0,1,1,0
475,4,15,8,1
124,9,7,6,1
257,1,8,0,0
158,2,8,3,1
177,3,19,4,1
368,1,13,4,1
759,5,2,5,1
176,1,6,2,0
91,3,3,0,0
290,0,1,1,0
893,9,6,10,1
214,5,29,4,1
631,2,30,4,1
37,2,2,0,0
828,4,17,1,1
408,2,21,0,1
923,2,26,10,1
276,8,14,6,1
268,2,1,1,0
127,2,2,5,0
344,8,14,4,1
21,2,3,0,0
129,6,20,1,1
572,0,5,5,1
941,9,8,0,1
623,9,5,3,1
318,9,12,0,1
229,0,1,2,0
911,0,5,8,1
491,3,2,2,0
143,4,0,8,1
156,1,0,2,0
356,10,17,4,1
271,2,4,0,0
140,1,3,4,0
649,7,11,0,1
66,0,0,1,0
165,1,2,0,0
106,3,3,1,0
259,3,3,2,0
32,1,3,1,0
142,1,21,0,1
290,1,2,2,0
698,8,14,0,1
90,3,7,5,1
859,8,15,0,1
132,3,5,10,1
202,2,0,0,0
772,4,14,2,1
549,3,22,5,1
902,7,9,1,1
452,10,3,4,1
262,2,0,0,0
364,6,20,3,1
247,0,2,5,0
36,3,0,2,0
379,3,14,10,1
782,1,14,5,1
199,0,2,4,0
220,3,13,3,1
179,0,2,0,0
22,2,2,2,0
245,1,5,5,1
301,10,30,3,1
230,0,1,0,0
193,2,0,0,0
682,3,13,10,1
149,1,3,2,0
118,8,3,0,1
195,5,23,2,1
864,9,29,4,1
198,2,2,0,0
944,3,23,7,1
170,4,20,7,1
427,2,2,1,0
228,1,0,0,0
96,2,0,1,0
92,0,3,0,0
176,8,24,1,1
922,6,7,10,1
131,1,0,1,0
127,6,28,10,1
421,10,9,3,1
158,0,11,6,1
183,2,9,0,0
172,2,8,4,0
138,0,3,0,0
217,8,24,2,1
78,1,9,2,0
183,5,2,0,0
52,2,0,1,0
211,1,2,0,0
327,7,0,9,1
35,5,1,1,0
328,1,2,1,0
531,3,17,7,1
197,0,2,0,0
232,6,29,9,1
180,1,1,2,0
743,3,4,1,1
152,2,1,2,0
121,10,19,0,1
180,1,4,1,0
405,5,4,9,1
679,8,7,10,1
352,5,23,4,1
460,2,13,8,1
118,1,7,0,0
245,0,0,0,0
877,9,20,5,1
35,0,2,1,0
174,0,3,6,0
150,0,10,0,0
261,10,27,6,1
122,2,3,2,0
201,2,1,2,0
81,1,3,1,0
210,3,5,0,0
891,8,5,2,1
174,4,7,2,0
283,2,0,1,0
369,6,9,8,1
822,2,10,8,1
179,5,9,9,1
199,2,22,4,1
273,1,1,2,0
289,9,4,10,1
513,4,4,1,1
324,5,25,8,1
29,0,2,0,0
971,0,13,3,1
849,7,0,4,1
453,1,0,1,0
282,4,26,6,1
705,9,23,9,1
214,0,7,1,0
906,7,6,1,1
171,0,3,1,0
721,4,21,9,1
51,0,2,2,0
105,1,2,1,0
969,4,26,6,1
124,9,7,5,1
425,0,2,1,0
610,7,4,5,1
292,1,2,1,0
291,5,1,0,0
898,2,3,7,1
249,0,3,3,0
208,7,14,10,1
388,7,1,8,1
190,4,5,3,1
80,4,19,6,1
145,2,2,0,0
725,8,3,9,1
81,2,2,2,0
27,4,2,4,0
200,2,2,0,0
45,0,2,0,0
665,3,4,10,1
369,2,4,6,0
254,5,3,2,0
41,1,3,3,0
743,10,15,10,1
331,0,3,2,0
125,4,6,10,1
314,0,8,5,1
486,9,27,3,1
810,7,8,9,1
53,2,16,6,1
923,2,17,1,1
269,0,0,0,0
785,4,22,6,1
336,3,27,0,1
230,2,3,1,0
182,9,27,0,1
958,2,19,4,1
237,0,6,0,0
131,0,10,4,1
67,5,2,2,0
179,2,29,6,1
109,3,2,0,1
103,3,23,4,1
403,3,4,4,1
49,2,3,2,0
189,0,2,0,0
108,10,24,10,1
242,4,0,1,0
169,9,12,8,1
700,6,22,4,1
424,10,1,7,1
63,1,0,2,0
160,8,6,1,1
395,0,0,3,0
858,8,8,4,1
802,10,30,8,1
224,10,29,10,1
216,0,6,6,0
28,1,2,2,0
341,4,27,3,1
255,1,0,1,0
951,6,21,10,1
246,0,1,2,0
738,7,22,8,1
533,2,5,4,1
88,2,18,8,1
29,1,3,2,0
73,1,1,2,0
85,1,3,3,0
187,2,0,2,0
256,1,1,2,0
706,7,27,7,1
349,10,25,6,1
210,0,1,1,0
321,6,23,8,1
382,1,14,0,1
762,2,25,2,1
381,3,24,3,1
242,2,3,5,0
99,2,2,2,0
328,10,1,4,1
458,1,3,9,1
265,0,4,3,0
415,6,29,6,1
79,1,0,2,0
233,4,8,2,0
167,2,17,6,1
89,5,15,9,1
196,1,1,2,0
900,9,6,6,1
376,2,26,7,1
254,1,0,2,0
143,0,4,0,0
208,2,8,1,0
125,2,0,2,0
259,3,3,3,0
400,10,27,10,1
52,0,2,2,0
174,4,0,1,0
750,8,5,10,1
288,5,1,2,0
656,9,13,3,1
830,5,29,5,1
118,9,10,5,1
88,2,27,7,1
383,10,10,1,1
105,7,21,3,1
281,1,2,1,0
149,6,5,0,1
68,2,2,0,0
154,7,21,8,1
57,2,0,5,0
176,0,3,0,0
262,0,3,1,0
523,10,19,10,1
260,1,2,2,0
138,7,30,3,1
183,9,5,9,1
335,2,1,10,1
633,8,19,7,1
451,10,30,6,1
575,5,29,3,1
830,9,23,10,1
457,2,1,2,0
326,1,2,0,0
289,0,2,3,0
863,10,0,7,1
630,5,5,4,1
82,5,21,0,1
862,3,2,4,1
331,3,1,5,1
937,8,7,8,1
612,8,28,9,1
277,8,15,3,1
665,9,15,8,1
672,10,7,10,1
102,2,0,2,0
211,1,2,2,0
21,0,1,1,0
21,0,2,1,0
110,6,10,8,1
231,1,2,6,0
343,10,21,9,1
388,1,9,8,1
44,2,2,0,0
193,2,3,1,0
616,3,8,7,1
113,0,3,2,0
357,6,15,7,1
547,3,2,3,1
242,2,2,1,0
73,0,3,1,0
31,0,2,5,0
217,3,18,9,1
73,0,0,0,0
162,4,25,6,1
234,4,25,5,1
638,2,13,10,1
238,0,2,2,0
846,2,23,1,1
168,4,13,2,1
176,1,8,1,0
253,2,0,1,0
344,0,3,1,0
533,1,30,5,1
187,4,10,3,0
426,10,29,2,1
208,5,3,0,0
438,7,5,6,1
140,8,15,5,1
272,2,3,0,0
935,4,10,8,1
858,10,30,6,1
67,1,0,4,0
71,2,2,1,0
205,0,0,2,0
57,3,24,6,1
269,1,8,0,0
696,6,28,8,1
406,6,13,1,1
121,7,29,3,1
431,1,18,10,1
869,2,18,1,1
757,9,30,3,1
35,0,1,1,0
263,1,3,1,0
285,1,2,1,0
56,0,8,1,0
228,1,1,5,0
208,2,1,1,0
137,2,16,8,1
247,2,0,1,0
170,2,11,10,1
184,2,3,2,0
259,1,0,0,0
215,2,0,1,0
792,4,1,4,1
178,2,5,3,1
218,6,18,9,1
210,0,3,0,0
553,1,6,3,1
151,3,11,4,1
185,0,3,1,0
629,9,21,1,1
838,2,2,3,1
345,2,8,6,1
169,0,8,6,0
818,4,11,4,1
944,2,7,10,1
205,0,1,2,0
51,1,2,0,0
68,8,2,8,1
